universal_name,ticker,CIK,Date Filed,10k_url
Alcoa,AA,0001675149,2022-02-24,https://www.sec.gov/Archives/edgar/data/1675149/0001564590-22-006763.txt
Alcoa,AA,0001675149,2023-02-23,https://www.sec.gov/Archives/edgar/data/1675149/0001564590-23-002319.txt
Alcoa,AA,0001675149,2024-02-21,https://www.sec.gov/Archives/edgar/data/1675149/0000950170-24-018069.txt
Alcoa,AA,0001675149,2025-02-20,https://www.sec.gov/Archives/edgar/data/1675149/0000950170-25-024242.txt
American Airlines Group,AAL,0000006201,2022-02-22,https://www.sec.gov/Archives/edgar/data/6201/0000006201-22-000026.txt
American Airlines Group,AAL,0000006201,2023-02-22,https://www.sec.gov/Archives/edgar/data/6201/0000006201-23-000018.txt
American Airlines Group,AAL,0000006201,2024-02-21,https://www.sec.gov/Archives/edgar/data/6201/0000006201-24-000010.txt
American Airlines Group,AAL,0000006201,2025-02-19,https://www.sec.gov/Archives/edgar/data/6201/0000006201-25-000010.txt
Advance Auto Parts,AAP,0001158449,2022-02-15,https://www.sec.gov/Archives/edgar/data/1158449/0001158449-22-000037.txt
Advance Auto Parts,AAP,0001158449,2023-02-28,https://www.sec.gov/Archives/edgar/data/1158449/0001158449-23-000035.txt
Advance Auto Parts,AAP,0001158449,2024-03-12,https://www.sec.gov/Archives/edgar/data/1158449/0001158449-24-000048.txt
Advance Auto Parts,AAP,0001158449,2025-02-26,https://www.sec.gov/Archives/edgar/data/1158449/0001158449-25-000064.txt
Apple,AAPL,0000320193,2022-10-28,https://www.sec.gov/Archives/edgar/data/320193/0000320193-22-000108.txt
Apple,AAPL,0000320193,2023-11-03,https://www.sec.gov/Archives/edgar/data/320193/0000320193-23-000106.txt
Apple,AAPL,0000320193,2024-11-01,https://www.sec.gov/Archives/edgar/data/320193/0000320193-24-000123.txt
Apple,AAPL,0000320193,2025-10-31,https://www.sec.gov/Archives/edgar/data/320193/0000320193-25-000079.txt
AbbVie,ABBV,0001551152,2022-02-18,https://www.sec.gov/Archives/edgar/data/1551152/0001551152-22-000007.txt
AbbVie,ABBV,0001551152,2023-02-17,https://www.sec.gov/Archives/edgar/data/1551152/0001551152-23-000011.txt
AbbVie,ABBV,0001551152,2024-02-20,https://www.sec.gov/Archives/edgar/data/1551152/0001551152-24-000011.txt
AbbVie,ABBV,0001551152,2025-02-14,https://www.sec.gov/Archives/edgar/data/1551152/0001551152-25-000020.txt
Asbury Automotive Group,ABG,0001144980,2022-03-01,https://www.sec.gov/Archives/edgar/data/1144980/0001144980-22-000079.txt
Asbury Automotive Group,ABG,0001144980,2023-03-01,https://www.sec.gov/Archives/edgar/data/1144980/0001144980-23-000080.txt
Asbury Automotive Group,ABG,0001144980,2024-02-29,https://www.sec.gov/Archives/edgar/data/1144980/0001144980-24-000076.txt
Asbury Automotive Group,ABG,0001144980,2025-02-26,https://www.sec.gov/Archives/edgar/data/1144980/0001144980-25-000077.txt
ABM Industries,ABM,0000771497,2022-12-21,https://www.sec.gov/Archives/edgar/data/771497/0000771497-22-000028.txt
ABM Industries,ABM,0000771497,2023-12-18,https://www.sec.gov/Archives/edgar/data/771497/0000771497-23-000025.txt
ABM Industries,ABM,0000771497,2024-12-19,https://www.sec.gov/Archives/edgar/data/771497/0000771497-24-000029.txt
ABM Industries,ABM,0000771497,2025-12-19,https://www.sec.gov/Archives/edgar/data/771497/0000771497-25-000031.txt
Airbnb,ABNB,0001559720,2022-02-25,https://www.sec.gov/Archives/edgar/data/1559720/0001559720-22-000006.txt
Airbnb,ABNB,0001559720,2023-02-17,https://www.sec.gov/Archives/edgar/data/1559720/0001559720-23-000003.txt
Airbnb,ABNB,0001559720,2024-02-16,https://www.sec.gov/Archives/edgar/data/1559720/0001559720-24-000006.txt
Airbnb,ABNB,0001559720,2025-02-13,https://www.sec.gov/Archives/edgar/data/1559720/0001559720-25-000010.txt
Abbott Laboratories,ABT,0000001800,2022-02-18,https://www.sec.gov/Archives/edgar/data/1800/0001104659-22-025141.txt
Abbott Laboratories,ABT,0000001800,2023-02-17,https://www.sec.gov/Archives/edgar/data/1800/0001628280-23-004026.txt
Abbott Laboratories,ABT,0000001800,2024-02-16,https://www.sec.gov/Archives/edgar/data/1800/0001628280-24-005348.txt
Abbott Laboratories,ABT,0000001800,2025-02-21,https://www.sec.gov/Archives/edgar/data/1800/0001628280-25-007110.txt
Albertsons,ACI,0001646972,2022-04-26,https://www.sec.gov/Archives/edgar/data/1646972/0001646972-22-000031.txt
Albertsons,ACI,0001646972,2023-04-25,https://www.sec.gov/Archives/edgar/data/1646972/0001646972-23-000045.txt
Albertsons,ACI,0001646972,2024-04-22,https://www.sec.gov/Archives/edgar/data/1646972/0001646972-24-000060.txt
Albertsons,ACI,0001646972,2025-04-21,https://www.sec.gov/Archives/edgar/data/1646972/0001646972-25-000052.txt
AECOM,ACM,0000868857,2022-11-17,https://www.sec.gov/Archives/edgar/data/868857/0001104659-22-119637.txt
AECOM,ACM,0000868857,2023-11-15,https://www.sec.gov/Archives/edgar/data/868857/0001104659-23-118329.txt
AECOM,ACM,0000868857,2024-11-19,https://www.sec.gov/Archives/edgar/data/868857/0001410578-24-002030.txt
AECOM,ACM,0000868857,2025-11-19,https://www.sec.gov/Archives/edgar/data/868857/0000868857-25-000013.txt
Adobe,ADBE,0000796343,2022-01-21,https://www.sec.gov/Archives/edgar/data/796343/0000796343-22-000032.txt
Adobe,ADBE,0000796343,2023-01-17,https://www.sec.gov/Archives/edgar/data/796343/0000796343-23-000007.txt
Adobe,ADBE,0000796343,2024-01-17,https://www.sec.gov/Archives/edgar/data/796343/0000796343-24-000006.txt
Adobe,ADBE,0000796343,2025-01-13,https://www.sec.gov/Archives/edgar/data/796343/0000796343-25-000004.txt
Analog Devices,ADI,0000006281,2022-11-22,https://www.sec.gov/Archives/edgar/data/6281/0000006281-22-000250.txt
Analog Devices,ADI,0000006281,2023-11-21,https://www.sec.gov/Archives/edgar/data/6281/0000006281-23-000203.txt
Analog Devices,ADI,0000006281,2024-11-26,https://www.sec.gov/Archives/edgar/data/6281/0000006281-24-000204.txt
Analog Devices,ADI,0000006281,2025-11-25,https://www.sec.gov/Archives/edgar/data/6281/0000006281-25-000153.txt
Archer Daniels Midland,ADM,0000007084,2022-02-17,https://www.sec.gov/Archives/edgar/data/7084/0000007084-22-000008.txt
Archer Daniels Midland,ADM,0000007084,2023-02-14,https://www.sec.gov/Archives/edgar/data/7084/0000007084-23-000010.txt
Archer Daniels Midland,ADM,0000007084,2024-03-12,https://www.sec.gov/Archives/edgar/data/7084/0000007084-24-000009.txt
Archer Daniels Midland,ADM,0000007084,2025-02-20,https://www.sec.gov/Archives/edgar/data/7084/0000007084-25-000011.txt
Automatic Data Processing,ADP,0000008670,2022-08-03,https://www.sec.gov/Archives/edgar/data/8670/0000008670-22-000038.txt
Automatic Data Processing,ADP,0000008670,2023-08-03,https://www.sec.gov/Archives/edgar/data/8670/0000008670-23-000030.txt
Automatic Data Processing,ADP,0000008670,2024-08-07,https://www.sec.gov/Archives/edgar/data/8670/0000008670-24-000024.txt
Automatic Data Processing,ADP,0000008670,2025-08-06,https://www.sec.gov/Archives/edgar/data/8670/0000008670-25-000037.txt
American Electric Power,AEP,0000004904,2022-02-24,https://www.sec.gov/Archives/edgar/data/4904/0000004904-22-000024.txt
American Electric Power,AEP,0000004904,2023-02-23,https://www.sec.gov/Archives/edgar/data/4904/0000004904-23-000011.txt
American Electric Power,AEP,0000004904,2024-02-26,https://www.sec.gov/Archives/edgar/data/4904/0000004904-24-000020.txt
American Electric Power,AEP,0000004904,2025-02-13,https://www.sec.gov/Archives/edgar/data/4904/0000004904-25-000027.txt
AES,AES,0000874761,2022-02-28,https://www.sec.gov/Archives/edgar/data/874761/0000874761-22-000022.txt
